"filename", "language", "Batch", "JSON", "CSS", "XML", "HTML", "JavaScript", "Markdown", "C#", "Properties", "Shell Script", "comment", "blank", "total"
"z:\mDB\.vs\VSWorkspaceState.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"z:\mDB\Esports_Projects\Attendance_Attendance.html", "HTML", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 4, 49
"z:\mDB\Esports_Projects\Attendance_Home.html", "HTML", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 2, 30
"z:\mDB\Esports_Projects\Attendance_Logger.html", "HTML", 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 4, 100
"z:\mDB\Esports_Projects\Attendance_Make_Player.html", "HTML", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 4, 76
"z:\mDB\Esports_Projects\Attendance_Players.html", "HTML", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 3, 43
"z:\mDB\Esports_Projects\Attendance_Winrate.html", "HTML", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 4, 48
"z:\mDB\Esports_Projects\Esports_Bot_Doc.html", "HTML", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"z:\mDB\Esports_Projects\Esports_Index.js", "JavaScript", 0, 0, 0, 0, 0, 300, 0, 0, 0, 0, 102, 76, 478
"z:\mDB\Esports_Projects\La_Cueva_Esports_Logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Esports_Projects\LoadAttendance.js", "JavaScript", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 10, 9, 60
"z:\mDB\Esports_Projects\Load_Players.js", "JavaScript", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 10, 16, 80
"z:\mDB\Esports_Projects\Make_Player.js", "JavaScript", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 8, 10, 53
"z:\mDB\Esports_Projects\Modules\CollatePlayerAndGetLinkToken.js", "JavaScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 1, 9
"z:\mDB\Esports_Projects\Modules\GetAttendance.js", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 1, 8
"z:\mDB\Esports_Projects\Modules\GetGames.js", "JavaScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 2, 19
"z:\mDB\Esports_Projects\Modules\GetMatches.js", "JavaScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 1, 10
"z:\mDB\Esports_Projects\Modules\GetMaxMatches.js", "JavaScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 1, 14
"z:\mDB\Esports_Projects\Modules\GetPlayerDiscordIDsAsMessage.js", "JavaScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 2, 4, 23
"z:\mDB\Esports_Projects\Modules\GetPlayers.js", "JavaScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 3, 13
"z:\mDB\Esports_Projects\Modules\GetPlayersByNameAndFile.js", "JavaScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 4, 22
"z:\mDB\Esports_Projects\Modules\GetPlayersCSV.js", "JavaScript", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 14, 14, 71
"z:\mDB\Esports_Projects\Modules\GetPlayersWithGame.js", "JavaScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 2, 8
"z:\mDB\Esports_Projects\Modules\GetPlayersWithGameByNameAndFile.js", "JavaScript", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 1, 2, 22
"z:\mDB\Esports_Projects\Modules\GetRegistrationStatus.js", "JavaScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 6, 3, 21
"z:\mDB\Esports_Projects\Modules\GetReliability.js", "JavaScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 1, 13
"z:\mDB\Esports_Projects\Modules\GetSummary.js", "JavaScript", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 2, 6, 31
"z:\mDB\Esports_Projects\Modules\GetWinrate.js", "JavaScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 2, 14
"z:\mDB\Esports_Projects\Post_Modules\LogMatch.js", "JavaScript", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 17, 12, 70
"z:\mDB\Esports_Projects\SetDropDown.js", "JavaScript", 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 19, 36, 182
"z:\mDB\Esports_Projects\index.css", "CSS", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 8, 46
"z:\mDB\Esports_Projects\index.html", "HTML", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 1, 32
"z:\mDB\Esports_Projects\logger.js", "JavaScript", 0, 0, 0, 0, 0, 171, 0, 0, 0, 0, 9, 32, 212
"z:\mDB\Esports_Projects\topnav.css", "CSS", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"z:\mDB\FTP\4.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\FTP\AI\AI_Index.js", "JavaScript", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 19, 18, 105
"z:\mDB\FTP\AI\Garlic_Bread.html", "HTML", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 37
"z:\mDB\FTP\AI\Mashed_Potatoes.html", "HTML", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 37
"z:\mDB\FTP\AI\Modules\GetAbyssOrangeMix2Files.js", "JavaScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 3, 20
"z:\mDB\FTP\AI\Modules\GetAnythingV3Files.js", "JavaScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 3, 20
"z:\mDB\FTP\AI\Modules\GetCompoments.js", "JavaScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 1, 20
"z:\mDB\FTP\AI\Modules\GetNovelAIFiles.js", "JavaScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 3, 20
"z:\mDB\FTP\AI\Modules\GetPrompts.js", "JavaScript", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 6, 10, 65
"z:\mDB\FTP\AI\Modules\GetRandomGarlicBread.js", "JavaScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 1, 16
"z:\mDB\FTP\AI\Modules\GetRandomMashedPotato.js", "JavaScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 1, 16
"z:\mDB\FTP\AI\Modules\GetSDFiles.js", "JavaScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 3, 20
"z:\mDB\FTP\AI\Modules\GetWDFiles.js", "JavaScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 3, 20
"z:\mDB\FTP\AI\PromptResponseGenerator\Program.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 146, 0, 0, 22, 34, 202
"z:\mDB\FTP\AI\PromptResponseGenerator\PromptResponseGenerator.csproj", "XML", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"z:\mDB\FTP\AI\PromptResponseGenerator\bin\Debug\net6.0\PromptResponseGenerator.deps.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
"z:\mDB\FTP\AI\PromptResponseGenerator\bin\Debug\net6.0\PromptResponseGenerator.runtimeconfig.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"z:\mDB\FTP\AI\PromptResponseGenerator\obj\Debug\net6.0\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 1, 5
"z:\mDB\FTP\AI\PromptResponseGenerator\obj\Debug\net6.0\PromptResponseGenerator.AssemblyInfo.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 5, 23
"z:\mDB\FTP\AI\PromptResponseGenerator\obj\Debug\net6.0\PromptResponseGenerator.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"z:\mDB\FTP\AI\PromptResponseGenerator\obj\Debug\net6.0\PromptResponseGenerator.GlobalUsings.g.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 1, 9
"z:\mDB\FTP\AI\PromptResponseGenerator\obj\PromptResponseGenerator.csproj.nuget.dgspec.json", "JSON", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63
"z:\mDB\FTP\AI\PromptResponseGenerator\obj\PromptResponseGenerator.csproj.nuget.g.props", "XML", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 15
"z:\mDB\FTP\AI\PromptResponseGenerator\obj\PromptResponseGenerator.csproj.nuget.g.targets", "XML", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"z:\mDB\FTP\AI\PromptResponseGenerator\obj\project.assets.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68
"z:\mDB\FTP\AI\PromptWorker.js", "JavaScript", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 17, 17, 100
"z:\mDB\FTP\AI\Waifu-Stable-Diffusion.html", "HTML", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 11, 75
"z:\mDB\FTP\AI\Waifu-Stable-Diffusion.js", "JavaScript", 0, 0, 0, 0, 0, 177, 0, 0, 0, 0, 20, 43, 240
"z:\mDB\FTP\Modules\GetFTPFiles.js", "JavaScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 0, 11
"z:\mDB\FTP\Post_Modules\Upload.js", "JavaScript", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 5, 8, 59
"z:\mDB\FTP\Post_Modules\upload.html", "HTML", 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 10, 88
"z:\mDB\FTP\Site_Media\Logo\Logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\FTP\Site_Media\Logo\Logo_Square.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\FTP\index.html", "HTML", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 6, 56
"z:\mDB\Helpers.js", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"z:\mDB\Hiragana_Teacher\About.html", "HTML", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 9, 77
"z:\mDB\Hiragana_Teacher\Cards Button.svg", "XML", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 1, 40
"z:\mDB\Hiragana_Teacher\CreateSet.html", "HTML", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 11, 91
"z:\mDB\Hiragana_Teacher\CreateSet.js", "JavaScript", 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 15, 21, 140
"z:\mDB\Hiragana_Teacher\Edit Button.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Hiragana_Teacher\FlipCard.html", "HTML", 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 24, 151
"z:\mDB\Hiragana_Teacher\FlipCard.js", "JavaScript", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 9, 8, 45
"z:\mDB\Hiragana_Teacher\Hiragana_Teacher_Index.js", "JavaScript", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 11, 18, 103
"z:\mDB\Hiragana_Teacher\Modules\GetAuthorName.js", "JavaScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 3, 14
"z:\mDB\Hiragana_Teacher\Modules\GetCharacterSets.js", "JavaScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 1, 16
"z:\mDB\Hiragana_Teacher\Plus Button.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Hiragana_Teacher\Post_Modules\CheckPassword.js", "JavaScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 3, 11
"z:\mDB\Hiragana_Teacher\Post_Modules\CreateList.js", "JavaScript", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 22, 6, 52
"z:\mDB\Hiragana_Teacher\Post_Modules\DeleteList.js", "JavaScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 7, 4, 31
"z:\mDB\Hiragana_Teacher\Post_Modules\GetLoginToken.js", "JavaScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 1, 10
"z:\mDB\Hiragana_Teacher\Post_Modules\GetPrivateSets.js", "JavaScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 1, 3, 24
"z:\mDB\Hiragana_Teacher\Post_Modules\GetProgress.js", "JavaScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 8, 2, 23
"z:\mDB\Hiragana_Teacher\Post_Modules\InvalidateToken.js", "JavaScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 3, 12
"z:\mDB\Hiragana_Teacher\Post_Modules\RegisterUser.js", "JavaScript", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 17, 12, 71
"z:\mDB\Hiragana_Teacher\Post_Modules\UpdateList.js", "JavaScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 22, 6, 50
"z:\mDB\Hiragana_Teacher\Post_Modules\UpdateProgress.js", "JavaScript", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 22, 9, 64
"z:\mDB\Hiragana_Teacher\Practice Button.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Hiragana_Teacher\Remove Button.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Hiragana_Teacher\Sets\1.json", "JSON", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55
"z:\mDB\Hiragana_Teacher\Sets\2.json", "JSON", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"z:\mDB\Hiragana_Teacher\Sets\2245253605070419.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Hiragana_Teacher\Sets\2245253605070420.json", "JSON", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54
"z:\mDB\Hiragana_Teacher\Sets\2245253605070421.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Hiragana_Teacher\Sets\2337898820527821.json", "JSON", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
"z:\mDB\Hiragana_Teacher\Sets\2726697452412871.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Hiragana_Teacher\Sets\2846304082291921.json", "JSON", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
"z:\mDB\Hiragana_Teacher\Sets\2882061288088905.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Hiragana_Teacher\Sets\3.json", "JSON", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"z:\mDB\Hiragana_Teacher\Sets\3626650220099945.json", "JSON", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
"z:\mDB\Hiragana_Teacher\Sets\3684422500212639.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Hiragana_Teacher\Sets\4.json", "JSON", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30
"z:\mDB\Hiragana_Teacher\Sets\4446270415405443.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Hiragana_Teacher\Sets\5.json", "JSON", 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147
"z:\mDB\Hiragana_Teacher\Sets\579241985125747.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Hiragana_Teacher\Sets\579241985125748.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Hiragana_Teacher\Sets\579241985125749.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Hiragana_Teacher\Sets\6267681291242027.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Hiragana_Teacher\Sets\6414662974164699.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Hiragana_Teacher\Sets\6828184604903257.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Hiragana_Teacher\Sets\7564568741187361.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Hiragana_Teacher\SignUp.html", "HTML", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 2, 39
"z:\mDB\Hiragana_Teacher\SignUp.js", "JavaScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 2, 4, 23
"z:\mDB\Hiragana_Teacher\index.css", "CSS", 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 2, 28, 182
"z:\mDB\Hiragana_Teacher\index.html", "HTML", 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 16, 115
"z:\mDB\Hiragana_Teacher\index.js", "JavaScript", 0, 0, 0, 0, 0, 459, 0, 0, 0, 0, 85, 113, 657
"z:\mDB\Index_BG.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"z:\mDB\Modules\GetSiteMap.js", "JavaScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 5, 4, 31
"z:\mDB\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"z:\mDB\client.css", "CSS", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"z:\mDB\index.css", "CSS", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"z:\mDB\index.html", "HTML", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 35
"z:\mDB\index.js", "JavaScript", 0, 0, 0, 0, 0, 279, 0, 0, 0, 0, 37, 37, 353
"z:\mDB\index_old.html", "HTML", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 3, 6, 43
"z:\mDB\mDB\1\1\1.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"z:\mDB\mDB\1\1\2.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"z:\mDB\mDB\1\seriesInfo.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"z:\mDB\mDB\2\1\1.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"z:\mDB\mDB\2\1\2.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"z:\mDB\mDB\2\1\3.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"z:\mDB\mDB\2\1\4.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"z:\mDB\mDB\2\1\5.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"z:\mDB\mDB\2\1\6.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"z:\mDB\mDB\2\1\7.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"z:\mDB\mDB\2\2\1.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"z:\mDB\mDB\2\seriesInfo.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"z:\mDB\new_index.css", "CSS", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 10, 54
"z:\mDB\nodemon.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"z:\mDB\package-lock.json", "JSON", 0, 2726, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2727
"z:\mDB\package.json", "JSON", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"z:\mDB\page_index.js", "JavaScript", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 3, 3, 30
"z:\mDB\projects\3D_Scanner_Comparison.html", "HTML", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"z:\mDB\projects\AIImageViewerWarningPage.html", "HTML", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 6, 45
"z:\mDB\projects\AI_Colabs.html", "HTML", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 2, 44
"z:\mDB\projects\ASXPDF_Confirmation_page.html", "HTML", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"z:\mDB\projects\American_Journey_Scans.html", "HTML", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 4, 46
"z:\mDB\projects\CFG_Files.html", "HTML", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 3, 36
"z:\mDB\projects\Download_Site.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"z:\mDB\projects\MGTA_List.css", "CSS", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"z:\mDB\projects\MGTA_List.html", "HTML", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 2, 42
"z:\mDB\projects\Modules\GetAmericanJourneyChapters.js", "JavaScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 0, 11
"z:\mDB\projects\Projects.html", "HTML", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 7, 78
"z:\mDB\projects\RollForSandwich.html", "HTML", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 1, 39
"z:\mDB\projects\Sandwich.css", "CSS", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 5, 42
"z:\mDB\projects\Sandwich.js", "JavaScript", 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 31, 28, 186
"z:\mDB\projects\index.html", "HTML", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 2, 39
"z:\mDB\projects\mgta.gmu.edu\courses\index.html", "HTML", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 4, 6, 64
"z:\mDB\projects\mgta.gmu.edu\courses\main.css", "CSS", 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 9, 25, 136
"z:\mDB\start.bat", "Batch", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"z:\mDB\toc.html", "HTML", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 82
"z:\mDB\topnav.css", "CSS", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"z:\mDB\users\139225.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"z:\mDB\users\177013.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"z:\mDB\users\180992.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"z:\mDB\users\455534.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"z:\mDB\users\523320.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"z:\mDB\users\683257.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"z:\mDB\users\872246.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"z:\mDB\users\980749.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"Total", "-", 2, 3541, 454, 72, 1639, 2893, 2, 165, 11, 4, 645, 932, 10360